央视,#genre#
CCTV-1 综合,https://cntv.sbs/tv?auth=230813&id=cctv1
CCTV-2 财经,https://cntv.sbs/tv?auth=230813&id=cctv2
CCTV-3 综艺,https://cntv.sbs/tv?auth=230813&id=cctv3
CCTV-4 中文国际,https://cntv.sbs/tv?auth=230813&id=cctv4
CCTV-5 体育,https://cntv.sbs/tv?auth=230813&id=cctv5
CCTV-5+ 体育赛事,https://cntv.sbs/tv?auth=230813&id=cctv5p
CCTV-6 电影,https://cntv.sbs/tv?auth=230813&id=cctv6
CCTV-7 国防军事,https://cntv.sbs/tv?auth=230813&id=cctv7
CCTV-8 电视剧,https://cntv.sbs/tv?auth=230813&id=cctv8
CCTV-9 纪录,https://cntv.sbs/tv?auth=230813&id=cctv9
CCTV-10 科教,https://cntv.sbs/tv?auth=230813&id=cctv10
CCTV-11 戏曲,https://cntv.sbs/tv?auth=230813&id=cctv11
CCTV-12 社会与法,https://cntv.sbs/tv?auth=230813&id=cctv12
CCTV-13 新闻,https://cntv.sbs/tv?auth=230813&id=cctv13
CCTV-14 少儿,https://cntv.sbs/tv?auth=230813&id=cctv14
CCTV-15 音乐,https://cntv.sbs/tv?auth=230813&id=cctv15
CCTV-16 奥林匹克,https://cntv.sbs/tv?auth=230813&id=cctv16
CCTV-16 4K,https://cntv.sbs/tv?auth=230813&id=cctv164k
CCTV-17 农业农村,https://cntv.sbs/tv?auth=230813&id=cctv17
CCTV-4K 超高清,https://cntv.sbs/tv?auth=230813&id=cctv4k
CGTN,https://cntv.sbs/tv?auth=230813&id=cgtn

卫视,#genre#
北京卫视,https://cntv.sbs/tv?auth=230813&id=bjws
东方卫视,https://cntv.sbs/tv?auth=230813&id=dfws
天津卫视,https://cntv.sbs/tv?auth=230813&id=tjws
重庆卫视,https://cntv.sbs/tv?auth=230813&id=cqws
黑龙江卫视,https://cntv.sbs/tv?auth=230813&id=hljws
吉林卫视,https://cntv.sbs/tv?auth=230813&id=jlws
辽宁卫视,https://cntv.sbs/tv?auth=230813&id=lnws
内蒙古卫视,https://cntv.sbs/tv?auth=230813&id=nmws
